Code	occurrence	BR_edg_2	SC_edg_1	TM_edg_2	TR_edg_1	BB_edg_1	BB_edg_2	P1_edg_1	P1_edg_2	P2_edg_4	P2_edg_5	P3_edg_1	P3_edg_2	KR_edg_2	KR_edg_3	KR_edg_4	D1_edg_1	D1_edg_2	D1_edg_4	D1_edg_5	D2_edg_1	D2_edg_3	D2_edg_4	D2_edg_5	BR_int_2	SC_int_1	TM_int_1	TR_int_1	BB_int_1	BB_int_3	P1_int_1	P1_int_2	P2_int_1	P2_int_2	P3_int_1	P3_int_2	KR_int_1	KR_int_2	KR_int_3	D1_int_1	D1_int_6	D1_int_9	D1_int_10	D2_int_1	D2_int_2	D2_int_4	D2_int_6
bauhsemi	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beilmada	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bridstip	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
bromfinl	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0
callatro	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
caloino	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
campauri	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
carymiti	43	4	4	4	2	1	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	3	2	3	3	4	4	4	4	4	4	0	0	0	4	4	3	4	4	4	4	4
cayrtrif	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chammani	4	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chrident	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
